datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/09/11 17:00:00,AQUA_M-T,Brasil,GOIAS,RIO VERDE,Cerrado,68,0,1,-17.909,-50.873,33
2020/09/11 17:00:00,AQUA_M-T,Brasil,GOIAS,RIO VERDE,Cerrado,106,0,1,-17.909,-50.946,13.7
2020/09/11 17:00:00,AQUA_M-T,Brasil,GOIAS,RIO VERDE,Cerrado,105,0,1,-17.911,-50.956,16.3
2020/09/11 17:00:00,AQUA_M-T,Brasil,GOIAS,CHAPADAO DO CEU,Cerrado,60,0,1,-18.213,-52.701,26.7
2020/09/11 17:00:00,AQUA_M-T,Brasil,GOIAS,CHAPADAO DO CEU,Cerrado,56,0,1,-18.215,-52.714,17.6
2020/09/11 17:00:00,AQUA_M-T,Brasil,GOIAS,CHAPADAO DO CEU,Cerrado,34,0,1,-18.265,-52.695,57.2
2020/09/11 17:00:00,AQUA_M-T,Brasil,GOIAS,CHAPADAO DO CEU,Cerrado,32,0,1,-18.267,-52.707,55.8
2020/09/11 17:00:00,AQUA_M-T,Brasil,GOIAS,BRITANIA,Cerrado,108,0,1,-15.171,-51.314,32.6
2020/09/11 17:00:00,AQUA_M-T,Brasil,GOIAS,BOM JARDIM DE GOIAS,Cerrado,109,0,1,-15.952,-52.025,38.8
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,23,0,1,-18.6,-55.419,361.4
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,23,0,1,-18.602,-55.439,250.5
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,23,0,1,-18.613,-55.41,71.9
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,23,0,1,-18.613,-55.417,199.5
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,23,0,1,-18.615,-55.43,222.8
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,23,0,1,-18.615,-55.437,128.7
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,21,0,1,-18.889,-56.057,60.4
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,22,0,1,-18.891,-56.04,31.1
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,21,0,1,-18.894,-56.063,30.9
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,21,0,1,-18.902,-56.055,33
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,90,0,1,-17.299,-56.327,79.4
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,95,0,1,-17.313,-56.326,136.1
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,96,0,1,-17.315,-56.348,124.6
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,71,0,1,-17.334,-56.392,48.9
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,81,0,1,-17.355,-56.384,60.9
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,63,0,1,-17.357,-56.407,34.6
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,77,0,1,-17.361,-56.389,77.2
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,29,0,1,-17.396,-56.454,41
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,49,0,1,-17.4,-56.425,48.2
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,31,0,1,-17.402,-56.448,147.7
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,29,0,1,-17.405,-56.471,72.7
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,32,0,1,-17.416,-56.446,68
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,29,0,1,-17.419,-56.469,45.5
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,29,0,1,-17.421,-56.492,106.9
